"010001", "SOUTHEAST ALABAMA MEDICAL CENTER", "1108 ROSS CLARK CIRCLE", "", "", "DOTHAN", "AL", "36301", "HOUSTON", "3347938701", "Acute Care Hospitals", "Government - Hospital District or Authority", "Y",31.215884,-85.3630079
"010001", "SOUTHEAST ALABAMA MEDICAL CENTER", "1108 ROSS CLARK CIRCLE", "", "", "DOTHAN", "AL", "36301", "HOUSTON", "3347938701", "Acute Care Hospitals", "Government - Hospital District or Authority", "N",31.215884,-85.3630079
"010005", "MARSHALL MEDICAL CENTER SOUTH", "2505 U S HIGHWAY 431 NORTH", "", "", "BOAZ", "AL", "35957", "MARSHALL", "2565938310", "Acute Care Hospitals", "Government - Hospital District or Authority", "Y",34.249788,-86.179183
"010006", "ELIZA COFFEE MEMORIAL HOSPITAL", "205 MARENGO STREET", "", "", "FLORENCE", "AL", "35631", "LAUDERDALE", "2567688400", "Acute Care Hospitals", "Government - Hospital District or Authority", "Y",34.7951082,-87.6850926
"010007", "MIZELL MEMORIAL HOSPITAL", "702 N MAIN ST", "", "", "OPP", "AL", "36467", "COVINGTON", "3344933541", "Acute Care Hospitals", "Voluntary non-profit - Private", "Y",31.2220879,-86.1725231
"010008", "CRENSHAW COMMUNITY HOSPITAL", "101 HOSPITAL CIRCLE", "", "", "LUVERNE", "AL", "36049", "CRENSHAW", "3343353374", "Acute Care Hospitals", "Proprietary", "N",31.6942681,-86.2639751
"010011", "ST VINCENT S EAST", "50 MEDICAL PARK EAST DRIVE", "", "", "BIRMINGHAM", "AL", "35235", "JEFFERSON", "2058383122", "Acute Care Hospitals", "Voluntary non-profit - Private", "Y",33.5961576,-86.6675006
"010012", "DEKALB REGIONAL MEDICAL CENTER", "200 MED CENTER DRIVE", "", "", "FORT PAYNE", "AL", "35968", "DE KALB", "2568453150", "Acute Care Hospitals", "Proprietary", "Y",34.4384548,-85.7557435
"010016", "SHELBY BAPTIST MEDICAL CENTER", "1000 FIRST STREET NORTH", "", "", "ALABASTER", "AL", "35007", "SHELBY", "2056208100", "Acute Care Hospitals", "Voluntary non-profit - Church", "Y",33.2524436,-86.8135545
"010018", "CALLAHAN EYE HOSPITAL", "1720 UNIVERSITY BLVD", "", "", "BIRMINGHAM", "AL", "35233", "JEFFERSON", "2053258100", "Acute Care Hospitals", "Voluntary non-profit - Private", "Y",33.503751,-86.802695
"010019", "HELEN KELLER MEMORIAL HOSPITAL", "1300 SOUTH MONTGOMERY AVENUE", "", "", "SHEFFIELD", "AL", "35660", "COLBERT", "2563864556", "Acute Care Hospitals", "Government - Hospital District or Authority", "Y",34.7464826,-87.6989296
"010021", "DALE MEDICAL CENTER", "126 HOSPITAL AVE", "", "", "OZARK", "AL", "36360", "DALE", "3347742601", "Acute Care Hospitals", "Government - Hospital District or Authority", "Y",31.451328,-85.632075
"010022", "CHEROKEE MEDICAL CENTER", "400 NORTHWOOD DR", "", "", "CENTRE", "AL", "35960", "CHEROKEE", "2569275531", "Acute Care Hospitals", "Voluntary non-profit - Private", "Y",34.162739,-85.6513665
"010023", "BAPTIST MEDICAL CENTER SOUTH", "2105 EAST SOUTH BOULEVARD", "", "", "MONTGOMERY", "AL", "36116", "MONTGOMERY", "3342882100", "Acute Care Hospitals", "Voluntary non-profit - Church", "Y",32.326946,-86.2710335
"010024", "JACKSON HOSPITAL & CLINIC INC", "1725 PINE STREET", "", "", "MONTGOMERY", "AL", "36106", "MONTGOMERY", "3342938000", "Acute Care Hospitals", "Voluntary non-profit - Private", "Y",32.3665616,-86.2857206
"010025", "GEORGE H. LANIER MEMORIAL HOSPITAL", "4800 48TH ST", "", "", "VALLEY", "AL", "36854", "CHAMBERS", "3347561400", "Acute Care Hospitals", "Voluntary non-profit - Other", "Y",32.823774,-85.1701886
"010029", "EAST ALABAMA MEDICAL CENTER AND SNF", "2000 PEPPERELL PARKWAY", "", "", "OPELIKA", "AL", "36801", "LEE", "3347493411", "Acute Care Hospitals", "Government - Hospital District or Authority", "Y",32.6381079,-85.4041233
